Date,SequenceNumber,PacketNumber,NodeId,SrcNodeId,LqiValue,RssiValues
1164977521734,2,15,11,14,-48,205
1164977525406,0,15,14,10,-44,231
1164977525406,0,15,14,17,-48,204
1164977528250,0,16,2,3,-46,217
1164977528250,0,16,2,6,-46,211
1164977529250,0,15,15,7,-46,202
1164977529250,0,15,15,11,-40,226
1164977529890,0,15,12,10,-47,223
1164977529890,0,15,12,13,-43,235
1164977530250,1,15,15,18,-45,229
1164977530250,1,15,15,17,-47,212
1164977530890,1,15,12,11,-42,215
1164977530890,1,15,12,17,-45,227
1164977531515,0,16,3,7,-39,234
1164977531515,0,16,3,2,-48,221
1164977533359,0,15,16,18,-48,216
1164977533359,0,15,16,17,-37,235
1164977534359,1,15,16,13,-43,230
1164977535312,0,15,13,16,-41,232
1164977535328,0,15,13,12,-39,233
1164977536328,1,15,13,8,-49,201
1164977536328,1,15,13,17,-47,209
1164977537312,2,15,13,15,-49,202
1164977538062,0,15,17,15,-50,207
1164977538062,0,15,17,13,-49,205
1164977539062,1,15,17,16,-39,233
1164977539062,1,15,17,14,-48,199
1164977540062,2,15,17,12,-45,226
1164977544671,0,16,4,8,-41,234
1164977544671,0,16,4,9,-46,219
1164977545687,1,16,4,5,-47,220
1164977547531,0,16,5,4,-43,207
1164977547531,0,16,5,7,-45,202
1164977548531,1,16,5,8,-50,191
1164977548953,0,16,6,9,-42,231
1164977548953,0,16,6,2,-49,206
1164977549937,1,16,6,7,-37,235
1164977549953,1,16,6,11,-45,191
1164977550953,2,16,6,8,-47,222
1164977553718,0,16,7,6,-39,233
1164977553718,0,16,7,8,-48,222
1164977554718,1,16,7,10,-49,204
1164977554718,1,16,7,3,-43,225
1164977555515,0,17,1,10,-50,176
1164977555703,2,16,7,5,-49,208
1164977562046,0,16,8,10,-49,208
1164977562046,0,16,8,9,-42,227
1164977562968,1,16,8,4,-37,233
1164977562968,1,16,8,7,-43,221
1164977563953,2,16,8,11,-45,203
1164977563953,2,16,8,6,-44,222
1164977565031,0,15,18,15,-48,223
1164977565031,0,15,18,20,-46,188
1164977566031,1,15,18,19,-45,229
1164977569750,0,15,19,18,-42,233
1164977569750,0,15,19,20,-44,217
1164977570265,0,16,9,13,-49,199
1164977570265,0,16,9,4,-43,219
1164977571234,1,16,9,11,-41,217
1164977571250,1,16,9,6,-39,234
1164977572250,2,16,9,8,-43,235
1164977572250,2,16,9,10,-49,205
1164977576015,0,16,10,14,-41,232
1164977576015,0,16,10,7,-44,206
1164977577062,1,16,10,11,-34,235
1164977577062,1,16,10,12,-45,229
1164977578031,2,16,10,8,-48,217
1164977578562,0,15,20,19,-49,206
1164977578562,0,15,20,18,-49,197
1164977579562,1,15,20,17,-47,204
1164977579750,0,16,11,12,-45,223
1164977579750,0,16,11,8,-49,216
1164977580734,1,16,11,10,-39,231
1164977580734,1,16,11,9,-45,215
1164977581750,2,16,11,15,-47,216
1164977581750,2,16,11,14,-47,208
1164977585421,0,16,14,12,-49,197
1164977585421,0,16,14,10,-44,227
1164977588265,0,17,2,3,-47,214
1164977588265,0,17,2,8,-49,209
1164977589250,0,16,15,13,-48,204
